wuxing,score,mod1,mod2,jixiong,brief,description,detail
火火土,60,335,446,凶,外表吉祥，虽可成功发达，但过于急迫，且缺乏忍耐力，因而易生分离作用。,吉祥顺遂，成功发展之吉兆，但若人格、地格有凶数，易生不良诱导，终陷于灾难悲运，被人陷害连累等，甚至有财败人离之虑，若人地二格无凶数，则大体是长寿幸福的。,"1、总论：吉祥中带有不安的配置，一生劳劳碌碌的艰苦经营，博得成功，但内藏不祥之兆，有意外灾厄或被连累损失之虞。天运属火，中年前名利可得。
2、性格：有很好的修养，为人坦诚直率，待人颇佳，能克勤克俭负起家庭责任，有时性情过于急躁，应予改进。
3、意志：意志坚定，不受世俗迷惑，但耐性不佳，做事有眼高手低之倾向。
4、事业：创业途中经过千辛万苦，又遭到许多无情打击，应继续忍耐，一定能成功。
5、家庭：如为长子父母恐缺其一，其他仍有缘薄之灵意，应早为自己生活打算。
6、婚姻：男娶勤俭之妻，婚后尚称美满，但有不安之感；女嫁有才干之夫，婚后夫妻和睦。
7、子女：男孩多于女孩，聪明又孝顺，长大后能于社会上成功发展。
8、社交：以礼待人，诚实无欺，乐于帮助别人，喜欢和人闲聊，能与人和睦相处。
9、精神：虽然工作上较为劳苦，心理上还是有所安慰，不必计较得失，您心情会更开朗。
10、财运：中年后财运才能稳定，应注意不为人作保或引起财务上的问题，以免受累。
11、健康：火土太旺，容易有高血压的现象。
12、老运：老境虽有财运，但精神仍然不安。"
火火金,60,337,448,凶,一时虽可成功，但心却经常不安，心身过劳。,一时虽可得成功，但外见安稳而内实不然，为人过分风流好淫而又常受不良之部下陷害，以致身心过劳，终至失败或夫妻激烈不睦，双火克一金，很可能与人结怨仇而发生祸端杀人或被杀，或遭火灾，乃双死之短寿兆。,"1、总论：如有一时的成功莫太大意，里面隐藏著随时会发生的祸害，有被人拖累或家内不和的灵意，慎防意外之灾及人为的伤害，天运五行属金，一生较能平安发展。
2、性格：性情急躁，有虚荣心，爱粉饰外表，又好色风流，容易与他人或夫妻间发生无谓争吵，应多存忍让之心，以保平安。
3、意志：意志不够坚定，喜欢投机或横发，耐性亦不佳，处事会有冲动，欠考虑。
4、事业：人有冲天之志，野心勃勃，可成功创业博得名利，投机或不法之钱财远离，慎防意外失败。
5、家庭：家内多争执，应多忍让，免得造成婚姻危机，子女应多给予爱的教育。
6、婚姻：男娶忧闷寡欢之妻，婚后不美满；女嫁个性卤莽之夫，婚后不和睦。
7、子女：子女个性比较固执，心性顽强，长大后独立心较强。与父母不和。
8、社交：喜欢打扮外表，追求异性较大方，善于言词，风流要有限度。
9、精神：外表乐观，内心苦闷，精神常在不安定中。
10、财运：财运好但不稳，有财来财去之灵意，花钱如能节制，防止意外失败，财利可得。
11、健康：易患呼吸疾病，身心过劳、皮肤病，脚疾等。
12、老运：老境孤独，但钱财不缺，应注重精神修养。"
火火水,35,339,440,凶,非常不安定的配置，易生意外灾祸。,风**秽之极，而又非常不安定之命运，易生意外之凶变或遭水灼袭，即使一时侥幸而成功，但亦不能持久，终陷于危祸，受意外灾难而破财或丧生，变死之机遇特多之凶兆，此乃发生不测突变而致死之兆。,"1、总论：在苦闷中孤军奋斗，创业途中经过许多挫折和不如意，只要能坚持到底，克服一切难关，定可成功发财，注意受亲友拖累，或意外之灾厄。一生很难稳定。
2、性格：做人做事太注重细节，思想较偏激，不愿与人妥协，心情多苦闷，精神时感不安，有喜好酒色之倾向。
3、意志：意志不坚定，表面上虽有计划，易受世俗迷惑，但耐性尚佳，可忍受失败打击。
4、事业：不要好高骛远，保守性的事业有财利，超过能力或财利之投资会遭受失败的打击。
5、家庭：家内多争执，有婚姻危机，应多忍让。
6、婚姻：男娶好胜好强之妻，婚后多争执；女嫁个性卤莽急躁之夫，感情不美满。
7、子女：个性顽强固执，身体状况稍差。
8、社交：与人相处有不适应感，不善于交际，容易卷入朋友是非中，平白遭受损失。
9、精神：表面乐观，心情苦闷，精神不安宁。
10、财运：好坏难分，财运不稳，应节制开支，可免后顾之忧。
11、健康：易患高血压、心脏机能及泌尿系统疾病。
12、老运：晚景难有进展，精神不安多烦。"
火土木,80,351,462,平,虽得上级提拔，以祖先的余德，可成功，但其基础不稳，扰动繁多。,虽得尊长（或上司）之爱护提拔，或祖先之余德，而必可成功发展，但基础是（土在上而木在下）之相克而含有崩败运，故境遇多凶变，财帛易散，成败频见，身份也因之时贵、时贱。,"1、总论：中年靠努力而有所成就，但容易为亲友拖累或乱投资事业而遭失败，心情难免不安，身份时贱时贵，有变动之灵意，应注意因判断错误而遭失败的打击，一生变化较大。
2、性格：为人表面温宏雅量，比较好面子又好出风头，虽诚恳待人，却容易得罪人面临卷入朋友的是非中，平白遭受损失。
3、意志：意志不够坚定，易受人煽动。但尚能忍受艰苦，一生运程变化较大。
4、事业：应从事较踏实的工作，不可好高骛远，容易发生错误投资，而带来失败或资金上的困扰。
5、家庭：家内不和睦，且为家庭劳苦受累，子女亦不敬。
6、婚姻：男娶好胜好强之妻，婚后不甚美满；女嫁精明才干之夫，婚后意见不和。
7、子女：子女虽聪明，但有反抗心理，长大后尚能在社会上成功发展。
8、社交：口才表达能力较差，表达的意思易被误解，社交上不太圆满。容易卷入朋友是非中。
9、精神：表面乐观，内心劳苦，精神不安定。
10、财运：财运不佳，应多节俭，减少意外拖累或不慎的投资，以免造成赤字。
11、健康：易患胃肠病、肾虚、妇人病等。
12、老运：晚景虽保安静，然不得意，精神多操劳。"
火土火,98,353,464,吉,得上级提拔，享父母余德，易成功，心身健全，得长寿享荣誉。,能安定，可逃灾害，部下得力合作，能成功，由尊长之爱护提拔或父祖余德所荫益，得隆昌而大发展。,"1、总论：运限良好可由上下之助而成功发展，但做事较为保守，冲劲不足，因此收入是有限度的，如能培养做事魄力及创业精神，才能得到更多的良机，一生辛勤平凡，发展有限。
2、性格：性情温和，宽宏大量，比较注重精神方面的修养，为人慷慨而不浪费，很有家庭责任的人，有因为助人而受拖累之灵意。
3、意志：意志坚定，不重虚名，保守行事，耐性亦佳，凡事三思而后行，不易冲动。
4、事业：喜欢从事比较安定无忧的工作或事业，不适合投机性的事业，因此发展有限。
5、家庭：一家老幼都能各睦相处，共享天伦之乐，但物质生活不富裕。
6、婚姻：男娶贤淑之妻，婚后持家有方，个性较强；女嫁温厚才干之夫，婚后感情和睦。
7、子女：子女都健康活泼，幼年时期较顽皮，长大后能在社会上成功发展。
8、社交：虽有很好的人缘，但不善于口才，社交发展有限。
9、精神：外表乐观，内心苦闷，但精神生活尚称如意。天运五行属火，一生较为愉快。
10、财运：财运平凡，有受拖累损失之兆，应多注意不为人作保。
11、健康：大致健康，唯易患高血压及胃肠之症。
12、老运：虽无很大的发展，晚景大致安乐无忧。"
火土土,98,355,466,吉,得上级提拔，享父母余德，易成功，心身健全，得长寿享荣誉。,有父祖余德所荫益，或由长辈爱护栽培，易向上发展，境遇安泰，虽无惊人成就，但可平顺而逐渐伸展，欣庆幸福长寿之兆。,"1、总论：有良好的发展运势，得到意外之助而成功发展，身心健康，家庭幸福，但发展有限，财运不稳之兆。
2、性格：为人谦和有礼，遵守公共道德及信用，做事稳重且踏实，对待部属宽厚大方，受到尊敬与欢迎，是一位很好的领导人才。
3、意志：意志尚称坚定，但耐力不够，处事有喜新厌旧之象，大都有无法坚持到底。
4、事业：任何事业对您都适合，碰到任何困难都有贵人相助，让您一展抱负。
5、家庭：一家老幼和乐融洽，子女又孝顺，夫妻亦能和睦相处。
6、婚姻：男娶贤淑之妻，婚后感情美满；女嫁谦恭才干之夫，婚后家庭幸福。
7、子女：子女都谦恭有礼且有责任感，长大后事业成功并能孝顺父母。
8、社交：人缘很好，性情明朗愉快不拘小节，受到人家的欢迎及异性的接近。适合领导及管理之工作。
9、精神：生活很愉快，内外圆满，诸事一帆顺。
10、财运：所做之事都有成功之象，财源可得，天运五行属水，劳多利少。
11、健康：身心健全，少灾。注意血压即可。
12、老运：晚景尚称如意，可享清福。"
火土金,75,357,468,凶,得父母余德，或长辈的引进而成功发展，惟因具有消极倾向，易心身过劳。,得部下拥载，及长辈引进，而得成功发展（五行顺相生，从上生下，配置良好），易得财利、名誉、事业隆昌，长寿少病之兆。,"1、总论：虽有成功发展的配置，但不知何故，总是无法如愿，财运难得，纵有也难保，做事有眼高手低之感，消极又无力之倾向，天运五行属火时，中年前后可成功一时。
2、性格：为人虽诚实守信，但意志消极，缺乏果断力，做事较固执，容易遭受挫折，不是创业的人才，中年后有色情之灾。
3、意志：意志坚定，虽得不到天时地利但得人和，耐性不佳，做事有虎头蛇尾之现象。
4、事业：如有小成功应该满足，计划之事都在五里雾中，创业难成功，应避免精神及财务损失。
5、家庭：起初有圆满之象，中年后恐有婚姻危机，子女反感之灵意。
6、婚姻：男娶勤俭之妻，中年后恐有夫妻反目之嫌；女嫁温厚才干之夫，婚后大致圆满。
7、子女：子女较顽固，比较容易和父母顶嘴，长大后在社会上仍有所成就。
8、社交：外表老实，做事沉著不积极，是标准的好好先生，当心受骗而损财。
9、精神：表面好像无忧无虑，其实内心郁闷不安，精神总有不安之感。
10、财运：财运不佳，虽节俭也未必能解决因难，应尽量避免其他损失，或受牵累。
11、健康：大致健康，防泌尿系统之病。
12、老运：事事不能如意，劳碌不安，应注重精神修养。"
火土水,50,359,460,凶,虽得祖上余德、或长辈之提拔而成功于一时，但恐吉变凶之数。,虽有长辈的爱护提拔，或父祖之余德荫益，而可成功于中年或壮年，但基础运劣，须防青年或晚年期之急变没落或遭受病苦、破财、失败或因色情事被杀等之不安定，凶运频来之兆。,"1、总论：一生劳碌难得安宁，纵有一时成功也难免失败，事业命运多变化，容易受人欺骗或拖累而散财之灵意。天运五行属金时，中年可发展，晚年有意外失败，又有灾厄是非。
2、性格：做事不重实际，有投机或发横财之心理，言辞动听，让人容易信任，如能真心待人处事，才有成就之日，一生只能靠孤军奋斗，成功有限，也有成败一瞬间之灵意。
3、意志：意志不够坚定，思想、事业多变化但有耐心，能够忍受失败的打击。
4、事业：如从事较稳定的生意，可得平安，若好高骛远从事投机或不正派之事业，会陷入失败的命运。
5、家庭：夫妻感情不睦，家内多遇风波，子女反感，太太与长上不和之兆。
6、婚姻：男娶固执不明理之妻，婚后不能美满；女嫁有才干之夫，婚后有不平不满之感。
7、子女：子女个性较固执，身体壮况亦稍差，长大恐难依靠。
8、社交：人缘虽不错，但社交不得要领，意志不够坚定，虽知有错也难改过来，有愈陷愈深之虑。
9、精神：对外虽乐观，内心实空虚，应注重精神修养为要。
10、财运：财运不佳，只有克勤克俭忍耐行事，才能永保无忧，否则只有徒增痛苦。
11、健康：易患消化器、肾脏病等；女性月经不顺，有子宫病等。
12、老运：晚景孤独不安，劳劳碌碌终无所得，郁闷不乐。"
火金木,40,371,482,凶,命运被压抑，不易成功，易招失败。,命运完全被抑压，基础运亦劣，常常劳而无功，极困难伸展其成就，若不谨慎，则致颠覆，易招失意及失配偶，或遭遇残废之祸患，甚至发狂杀人或变死，乃短寿又凶死之兆矣。,"1、总论：不但工作及事业上无法顺利成功，且内外不和，心情苦闷，生活不能安定，易招失意，失败、家庭失和等情事，应谨慎为人处事，若天运五行属土，一生尚能小成功。
2、性格：虽有坚忍的个性，不怕失败或打击，性急而口齿灵利，容易得罪人而引起反感，应注意成长时期流于问题少年，卷入朋友是非或法律纠纷，人生的考验较多。
3、意志：意志不够坚定，思想变化万千，但尚能忍受艰苦与突来的打击，痛苦度一生。
4、事业：所谋所做之事表面平稳，其实内面隐藏著随时发生的祸害，应选择人事问题单纯的小本生意。
5、家庭：家内难和睦，应多忍让免造成婚姻危机，子女亦容易反感，早为独立打算。
6、婚姻：男娶懦弱固执之妻，婚后感情难和睦；女嫁好胜好强之夫，婚后常有争吵。
7、子女：女孩多于男孩，聪明但有反叛性质。
8、社交：个性顽强固执，争勇好斗，有钱时喜欢装大方，朋友之间无长久之情感。
9、精神：事事不能如意，精神难得安宁，心情常在苦闷不安中。
10、财运：财运不佳，应多节俭，注重精神修养，求得稳定收入即可保持平衡。
11、健康：易患头痛、神经衰弱、呼吸系统、外伤、杀伤等。
12、老运：晚景孤独，劳碌不息，晚境难安宁。"
火金火,40,373,484,凶,命运被压抑而难以伸张，基础不稳。,命运完全被压制而不能伸展，基础不稳，伤脑伤肺，绝对的不安定，亦不能成功，晚年更凶，易遭火灾，甚至发狂或遭遇残废，变死之厄难，必定短寿凶死之兆矣。平生：贪色、好胜、争斗杀伐而惹祸，致陷遭牢狱者也不少。,"1、总论：早年费尽心力而无所成，遭受很多意外的灾害与打击，幸能逃过灾难，中年后事业有成，名利可得，切勿好高骛远企图从事超过自己能力、财力的事业而劳命伤财。
2、性格：性格独立而早熟，在创业过程中碰到任何挫折都能忍受，主观意识较重，大都不甘屈于人下，应注意成长期勿流于问题少年之途，而影响前程。
3、意志：意志不够坚定，常有与身份不相应之企图，但耐性尚佳思想高远，可得一时的成功。
4、事业：早年辛勤劳苦而收获少，有志难伸之象，六亲又无助，靠孤军奋斗，中年后有成功机会。
5、家庭：六亲缘薄，夫妻欠圆满，子女难靠，家庭有不安之兆。
6、婚姻：男女皆得好胜顽固之配偶，婚后常有争执，应多忍让，免造成婚姻危机。
7、子女：子女皆聪明活泼，稍嫌过于顽皮，常给父母惹麻烦，长大后独立心重。
8、社交：外缘及人际关系尚可，天性喜助他人，但内心孤高苦闷，容易被卷入朋友的是非中，而遭受损失。
9、精神：对外乐观，内心空虚，心情欠开朗，为家庭及事业劳苦不安。
10、财运：早年困苦，中年财利可得，但有因判断错误而失败之灵意，应谨慎注意。
11、健康：易患脑症，呼吸系统、神经衰弱、筋骨酸痛、精神分裂、外伤等。
12、老运：晚景物质不缺，但精神仍不安宁，缺乏天伦之乐。"
火金土,40,375,486,凶,命运被压抑而难以伸张，常有烦恼和困难，心身过劳。,境遇虽安定，受一时之福荫而获得安定之生活，但成功运因被压制，不能有所伸张，常有烦恼与困难，身心过劳，易生脑疾、肺疾或遭难之虑，晚年不佳之兆。,"1、总论：做事欠考虑，所做所为不检讨，有聪明反被聪明误之情事，如有一时成功感到满足切莫企图从事超过自己能力、财力的工作，以免失败后悔莫及，天运五行属土，一生成功机会较多。
2、性格：个性比较主观又好胜好强，不服输的心理很强，不容许别人做错，总以为自己能力很高，对父母难有孝心，但表现却相反，应多检讨行为，注重精神修养，才有成功之希望。
3、意志：意志尚称坚定，却有一意孤行之倾向，但耐性不佳，处事容易冲动，喜欢横发或投机行业。
4、事业：应从事人事关系较单纯的工作或事业，不可理想太高而好高骛远，否则会让您失望的。
5、家庭：家内不安，有为妻子之事而闹到父母、兄弟不和之灵意，女性有婚姻危机。
6、婚姻：男娶贤淑但任性之妻，婚后多是非；女嫁好胜好强之夫，婚后难圆满，常有争吵之象。
7、子女：子女谦恭有责任感，长大可成功立业，也能孝顺父母。
8、社交：个性较固执，很难妥协，得理不饶人，容易造成社交上的缺点。
9、精神：表面坚强，内心不安烦闷，应加强精神修养，凡事多忍让。
10、财运：财运不佳，应求稳定性收入才是上策，好高骛远只会增加您的困扰，别无所得。
11、健康：易患上半身之病症，如脑症、头痛、呼吸系统等。
12、老运：如顽性不改，晚景仍难安宁。"
火金金,40,377,488,凶,成功运被压抑，难以有所伸张，易生不平不满，或陷于孤独。,过分坚决鲁顽刚强，以致遭受批难、不和，陷于孤独，易生不平、不和，不满、怨叹等。成功运被抑压，且易变为遭难以及失子、孤独、不遇等。容易因不测之突变而短寿丧生之兆。,"1、总论：虽有坚韧的个性，但受到无限命运的折磨，不必怨恨命运的安排，也只有将希望寄于未来，并注重精神修养，充实人生，注意意外灾厄，慎防为他人而卷入是非纷争中。
2、性格：在社会上为人处事，这种个性是不适合的，否则您就是吃再大的亏，也只有诉之神明，动怒也无法解决事情，您的优点只有勤俭而默默耕耘。
3、意志：意志尚称坚定，有相当忍耐性，处事容易变化，受到外来的因素，而身不由已。
4、事业：一心一意想闯一番事业，无奈命运多受挫折，凶多吉少，如果注重精神修养会好过些。
5、家庭：为家庭劳累，难得安宁，夫妻又多争执，子女亦难靠。
6、婚姻：男娶好胜好强之妻，婚后不圆满；女嫁主观固执之夫，婚后意见不和。
7、子女：子女运不佳，个性顽固，长大恐难依靠，早为独立生活打算。
8、社交：为人固执，只顾自己的工作或理想，不能与人融洽，终致内外不和，社交不广。
9、精神：非常苦闷，有苦难言，应多找寻精神寄托，培养乐观人生。
10、财运：财运不佳，奉劝您从事薪水生活，或资金较少的小买卖，免为财务困难而伤神。
11、健康：易患头痛、脑疾、呼系统等症。
12、老运：老境稍可安静，但财运仍不佳，应安贫乐道行善，寻示心灵上的寄托。"
火金水,40,379,480,凶,命运被压抑而难以伸张，有机不遇，磨难多。,非但不能成功，且有急变没落之兆，陷于怀才不遇，破乱凶祸极多，平生意志不能有所伸张，成功运也完全被压制，容易因被人连累而遭难，突生不测凶变而丧生，死于少人知之处。,"1、总论：如逆水行舟费尽心力一事难成，虽然一心想过平静的生活，努力又有耐心，最后还是无法挽回自己命运的安排，自苦自愁，有受亲友拖累的现象，慎防意外之灾厄。
2、性格：常有不平不满，诉诸于人，也无补于事，难有聪明的头脑，也无法抗拒命运的安排，待人处事好坏应辨别清楚，以免受累难堪，应持盈保泰，方为上策。
3、意志：意志坚定，注重实际与工作，耐性亦佳，能忍受艰苦，不断奋斗，但劳多而功少。
4、事业：不要嫌钱少，如有固定收入应该满足，不可好高骛远，并注意金钱来往，以免受累失败。
5、家庭：父母无靠，夫妻欠和，家庭不温暖，应多忍让，注重精神生活为要。
6、婚姻：男娶能干之妻，婚后家内不太美满；女嫁卤莽顽刚之夫，婚后难和睦，感情不稳定。
7、子女：子女个性较孤独，身体状况较差。
8、社交：做人做事不马虎，认真行事能受人信任，个性较敏感且多疑为其缺点，社交能力佳。
9、精神：表面乐观，内心不安，精神多劳，为家庭事业而烦闷难安。
10、财运：一生操劳，财运仍不佳，应注重精神修养，免得劳民伤财。
11、健康：易得肺部、头部、脑溢血、外伤、意外灾难等。
12、老运：晚景孤独，身体不安，应安贫乐道，寻求精神上的寄托。"
火水木,40,391,302,凶,命运被压抑，难以伸张，易生离乱困苦。不过，偶尔有异常成功者。,虽有一时的成功，但因成功运被压制，而不能有所伸张，且大多易生困苦、乱杂、穷困，且有招致急祸或遭难之虑，含有急变不祥之兆。,"1、总论：配置虽不好，但凭才华及理智，不断的求上进，不必怕失败，最后必能成功，只怕中途心灰意冷或遭不测之灾，如能早做预防及意志更坚定，一定有很好的发展。
2、性格：难有天赋才华，但计划往往会超前而脱离现实，因此生活常在不安定中（人格29、39数者较好些），且个性较任性，主观意识也强烈，只顾追求理想，不注重物质享受。
3、意志：意志坚定，为自己理想而不断的奋斗，主观意识也强烈，只顾追求理想，不注重物质享受。
4、事业：在操劳中创业，虽然碰到许多挫折，只要您坚忍不拔，一定可创造一番很好的事业，。
5、家庭：与父母意见不和，夫妻感情大致圆满，女性者夫妻多争执。
6、婚姻：男娶贤慧之妻，婚后还算和睦，合力创业；女嫁懦弱寡和之夫，婚后喜掌权，且多争执。
7、子女：子女个性活泼可爱，不要太过溺爱，以免宠坏了他们。
8、社交：人缘不错，但过于任性，容易引起别人误会，若待人圆滑点，兄弟朋友会更和睦。
9、精神：事事不太如意，精神多苦闷，中年后转入佳境。
10、财运：财运很好，但是在接受种种困难及考验之后才能得到。
11、健康：易患头痛、脑疾、胃肠、精神过劳等症，应注意意外之灾祸。
12、老运：晚景有财运，但精神不安，且有病灾之虞。"
火水火,30,393,404,凶,绝对凶数配置，易生急变之灾。,三才皆破，乱杂困穷，容易在室外或途中而遭难，有急祸，无形之心病甚重，容易为感情或爱情事而遭难，大灾、大祸频袭，如风中残烛，随时可灭之兆，绝对的不安全，不但身体越虚弱，且会发生不测之突变，而丧生或发狂或自杀，乃短寿之兆。,"1、总论：这种命运的安排，对您是苛刻无情的，所谋所做之事都在五里雾中，很难克服，如有小财利，应速安排人事关系较单纯的行业，平凡度过一生。慎防意外灾厄。
2、性格：凡事粗心大意又任性，很难接受他人的意见，善于舌战及辩论，绝不认输，喜出风头，容易遭到反感，与人冲突或者有法律纠纷，宜多忍让，得人和可免惹火烧身。
3、意志：意志不够坚定，思想往往脱离现实，但耐性尚佳，可以忍受失败的打击，小成功有望。
4、事业：要冲破这么多难关而立业，实在不容易，只怕中途精神过劳失去信心而失败，宜守求安。
5、家庭：孤独不安难和睦，夫妻难白头偕老，子女亦难依靠，慎防为酒色而引起婚姻危机。
6、婚姻：男娶懦弱固执之妻，婚后常有争吵；女嫁无主见之夫，婚后不圆满，婚后不安份。
7、子女：子女较固执，独立心很强，早为独立生活打算。
8、社交：外表还算人缘好，因重面子又好强，容易得罪人，慎防纠纷冲突之情事发生。
9、精神：事事难如愿，精神苦闷不安，缺乏天伦之乐，。
10、财运：纵有财运也难持久，应节制开支未雨绸缪，免受贫困之苦，天运五行属土时，中年后财利可得。
11、健康：易患脑溢血、头痛、泌尿系统、心脏病等。慎防意外灾厄、急病。
12、老运：晚景孤独凄凉，精神操劳，应多注重精神修养，物质生活可免忧。"
火水土,40,395,406,凶,成功运被压抑，难以伸张，时常苦恼困惑。,三才皆破，即使表面安定，亦内藏不安，乱杂困苦烦闷，基础运崩败而成功运又被抑压，不能伸张，不但招致境遇没落，又有病弱短命及遭难变死之兆，为短寿之凶数配置。,"1、总论：中年以前必须经过许多困难，内心非常烦闷困苦，亲友无助，靠孤军奋斗、冲破万难才能成功，但中途精神过劳，急灾没落者也甚多，应慎加防范。天运属金者中年后可成功发展。
2、性格：为人处事较任性，缺乏服从心，精神生活常在不安定中，心情苦闷却满腹理想，惟恐脱离现实劳而无功。应着重实际多接受他人意见方为上策。
3、意志：意志不坚定，思想变化较大，耐性亦不佳，处事冲动，有时欠考虑，小不忍则乱大谋。
4、事业：中年以后才能发展，中年前应多充实自己，修身养性，不可自找苦吃。
5、家庭：夫妻不和，子女无靠，老运转佳，应多忍让免造成婚姻危机。
6、婚姻：男娶好胜好强之妻，婚后常争吵；女嫁懦弱寡和之夫，婚后不美满。
7、子女：子女虽聪明可爱，但独立心很强，有早年离家奋斗之灵意。
8、社交：人缘还算不错，但社交不太圆满，情绪变化无常，有投机及好高鹜远之企图。
9、精神：事事难以如愿，心情常苦闷不安。
10、财运：财源不稳，时有时无，老运才能转佳，赚钱常是误打误撞而得到。
11、健康：易患头疼、脑病、胃肠及泌尿系统疾病，甚防急灾急症。
12、老运：为名为利终日劳苦，老境会有财星照，但缺乏天伦之乐。"
火水金,40,397,408,凶,命运被压抑，难以伸张，易生离乱困苦，有招致急难不祥之虑。,能有一时之成功，但成功运被压制而不能伸张，时常不平、不满、乱杂苦闷烦难恼，灾祸繁多，以平安，须提防处事，否则会有突然之急祸凶变。,"1、总论：这种配置有许多困难等着您，如能以百折不挠的精神去克服它，仍可成功立业，只怕中途受困难而退缩或遇意外灾厄，而造成英雄无用武之地，感叹良多。
2、性格：为人任性缺乏服从心，喜爱表现自己才能，凭自己的理想而奋斗，平时守信慎行，有成人之美德，主观太强，应多改进，中年后可成功发展。
3、意志：意志尚称坚定，不被世俗迷惑，但耐性不佳，处事容易冲动，有时欠考虑。
4、事业：创业过程很艰苦，是白手起家类型，凡事不可操之过急，应脚踏实地，步步守身，以防万一。
5、家庭：夫妻大致圆满但有不安之兆，父母缘薄，女性则夫妻多争吵，对丈夫喜用支配口吻。
6、婚姻：男娶贤惠之妻，婚后能共同持家；女嫁懦弱寡和之夫，婚后不和睦。
7、子女：子女个性较顽强，容易和父母顶嘴，长大后成就还不错。
8、社交：做事坦白，快人快语，个性明朗，善于外交，人缘还不错，适合外交工作。
9、精神：表面乐观，内心多苦闷，精神常不安，应秉持盈保泰之法则，可减少悲伤。
10、财运：劳碌中得财，晚境更佳，天运五行属水者，财运才能守住。
11、健康：易患头疼、脑疾、神经衰弱等，慎防急厄之灾。
12、老运：晚境较安定，内心仍苦闷，财源可免忧。"
火水水,40,399,400,凶,难于成功，易陷于离乱痛苦，偶有异常成功者。,有一时之投机成功，但绝对不能伸张，终归乱杂困苦、孤独、有病难、凶变、急祸，危命之虑。,"1、总论：虽有创业及计划的能力，可能会成功一时，但因配置不佳容易发生意外失败，凡事不可自作聪明好胜好强，应脚踏实地，注重精神修养及人际和平，免受害受累，防意外灾厄。
2、性格：您有天赋的才华，因此自尊心太高，有好胜好强的个性，凡事不认输，有做大事业的魄力，但运气未来之前，就是再大的能耐，也只有徒增痛苦与打击，，应识时务为要。
3、意志：意志尚称坚定，且能忍受失败的打击，只顾追求理想，常叹命运不公平。
4、事业：中年前兢兢业业很难稳定，应多注重精神修养及充实自己，中年后才能成功立业。
5、家庭：六亲难靠，家庭不和睦，子女也多计较，女命有婚姻危机。男命若为长子，父母恐缺其一。
6、婚姻：男娶顽固寡和之妻，婚后多争吵；女嫁懦弱寡和之夫，婚后难圆满。
7、子女：女孩多于男孩，性格比较孤独，身体状况亦稍差。
8、社交：好胜好强，快人快语，容易得罪人，遭到别人反感与打击。
9、精神：外表若无其事，其实内心苦闷不安，将精神寄托于事业未来的发展，可增进信心。
10、财运：财运不稳定，时富时贫，天运五行属木时，中、晚年财源广进。
11、健康：易患头痛、脑疾、风湿、关节炎、妇人病等。防意外急症。
12、老运：一生劳碌，晚景转佳境，但精神仍不安，物质生活丰裕。"
土木木,65,511,622,平,看似运气良好，但却苦闷繁多，有迟达目的之倾向。,基础安泰，得贵人助力，而在困难之中得平安发展，但成功运之配置不良，难于伸张，故然只是外强中干而已，虽苦闷烦恼殊多，但大体可得平安，衣食充足，幸福有寿，人地两格，无凶数，则身体健康，疾病少有，有病吃药即可速愈。,"1、总论：有很好的计划性及忍耐性，不屈不挠的精神想达到目的，但因固执且自疑心较重，影响发展，有迟迟达到理想之灵意。凡事不必操之过急，以缓进式方可成事，天运属火时，中年后可一展抱负，名利可得。
2、性格：努力中带固执，是外柔内刚的个性，一向好面子不认输且自律甚严，缺乏服从心，容易陷入一意孤行，创业过程碰到困难很多。
3、意志：意志坚定，注重实际与工作，耐性亦佳，能忍受艰苦，可自创一番事业。
4、事业：这是一种发展较迟的配置，所以不必操之过急，应选定较稳定性的行业，不宜投机取巧。
5、家庭：父母缘薄，如为长子恐早缺其一，是早年劳苦之命，靠自力奋斗而成功的类型。
6、婚姻：男娶克勤克俭之妻，婚后大致圆满；女嫁懦弱寡和之夫，婚后喜掌理家中一切事务。
7、子女：女孩多于男孩，都有相当责任感，长大后发展性很高。
8、社交：比较严肃感，不愿与人妥协，自疑及多疑心较重，虽受尊重，但社交不太圆满。
9、精神：表面若无其事，内心不安又苦闷。
10、财运：苦闷中得财，没意外财利，应早做储蓄，老景自无忧。
11、健康：易患胃肠、肝脏、神经痛、偏头痛等。
12、老运：一生操劳、克服人生难关，晚景稍佳，但精神仍不安。"
